Term,Model,Ecoregion,Scenario,Ave25yearSpan_Annual_Pr,Plot_index_Annual_Pr,Ave25yearSpan_Winter_pr,Plot_index_Winter_pr,Ave25yearSpan_Spring_pr,Plot_index_Spring_pr,Ave25yearSpan_Summer_pr,Plot_index_Summer_pr,Ave25yearSpan_Fall_pr,Plot_index_Fall_pr
near-term Future,CNRM-ESM2-1,8.3.5,ssp245,4.4454267958909156e-05,2.8507323159887457,4.484107620206877e-05,-1.9902846136903523,5.03501685443007e-05,11.752566398236347,4.8560400071456604e-05,2.286298079611154,3.395874505700686e-05,-1.7427091003101323
near-term Future,CNRM-ESM2-1,8.3.6,ssp245,4.6749423359236064e-05,5.940150488303546,4.9512507302549364e-05,1.0462900551269319,5.664304993317353e-05,12.083417467328438,4.2380163636902576e-05,0.945377958206054,3.8424341541739826e-05,9.825210992370792
near-term Future,CNRM-ESM2-1,8.3.7,ssp245,4.177917937394385e-05,-0.05452033725430297,4.246351512978314e-05,-1.3075600167298302,4.567636800819673e-05,2.144014943751933,3.7678495537213335e-05,-7.1989927844752595,4.130629036318569e-05,6.311149225364063
near-term Future,CNRM-ESM2-1,8.3.8,ssp245,3.0520753114943746e-05,-2.5653101915844285,2.5151014575889375e-05,-4.674017290385525,3.405297857702589e-05,0.34757786652924816,2.6458400987390387e-05,-10.24806414562751,3.638159771920326e-05,2.6311624645878693
near-term Future,CNRM-ESM2-1,8.4.1,ssp245,3.915658802623621e-05,4.63934082964457,3.7688273543032235e-05,5.059730819500389,4.316801799324177e-05,9.482231763768333,3.940329037012193e-05,-3.9980538660724805,3.630771468955854e-05,9.161408521897
near-term Future,CNRM-ESM2-1,8.4.2,ssp245,3.814226627373129e-05,5.568193118448266,3.578564582886703e-05,4.063760457713764,4.3492625714459897e-05,12.374821408511842,3.944644819182878e-05,-4.961292697439847,3.375153686639668e-05,13.173274254592421
near-term Future,CNRM-ESM2-1,8.4.3,ssp245,3.602062985843439e-05,5.3233098979336955,3.209027481269996e-05,7.723876126077879,4.1486646206513615e-05,8.595980803346887,3.785027888822604e-05,-5.847063936030097,3.254232243604927e-05,14.342136820215492
near-term Future,CNRM-ESM2-1,8.4.4,ssp245,4.529674311159147e-05,4.386855543268066,4.5330488472674176e-05,0.6948872189384943,5.202025326726461e-05,15.012392606135297,4.5678133659108716e-05,0.1503149424523184,3.808030304480446e-05,1.0509854423868237
near-term Future,CNRM-ESM2-1,8.4.5,ssp245,3.6440598642331856e-05,7.751443790795552,2.685374179508495e-05,3.4606335661297893,4.615008405627844e-05,15.30488857680257,3.6245485016267365e-05,0.5756583853531319,3.632846410838032e-05,9.752594205820806
near-term Future,CNRM-ESM2-1,8.4.6,ssp245,3.855637565003667e-05,7.3342212625514405,2.855242486705287e-05,-3.5218300345929396,4.846728812819247e-05,14.608949407747163,3.477699518350369e-05,-3.641612447123853,4.227786546967582e-05,18.800694877549933
near-term Future,CNRM-ESM2-1,8.4.7,ssp245,3.883953752909507e-05,6.990654725338868,2.877020562174809e-05,-3.69386452442812,4.918220197827412e-05,13.85128295733006,3.433259870446686e-05,-4.277033388090821,4.292491943964801e-05,18.7622893280955
near-term Future,CNRM-ESM2-1,8.4.8,ssp245,4.205366127235684e-05,4.960894088308879,3.344924623550116e-05,-4.537826192641977,5.207928726116279e-05,12.23033528220655,3.5758567599743105e-05,-8.492423622680093,4.681468808374335e-05,18.090722655361866
near-term Future,CNRM-ESM2-1,8.4.9,ssp245,4.75186334735997e-05,6.659094813240205,5.0566972692021956e-05,0.1390343126911011,5.6721887429136274e-05,16.167581485394095,4.547913622111837e-05,4.906253390308963,3.725327360819853e-05,4.800639905028386
near-term Future,CNRM-ESM2-1,8.5.1,ssp245,4.0461745154912e-05,2.5725599221087605,3.6888110204488354e-05,7.277631028825421,3.922143784940446e-05,9.750747406586727,4.743553581776677e-05,-4.574611011747046,3.820904569392609e-05,0.9713152385349408
near-term Future,CNRM-ESM2-1,8.5.2,ssp245,4.538804484034254e-05,4.673084270447465,4.6000245393793834e-05,-0.5558074654465512,5.33439241649145e-05,10.901344747389029,4.336452585997678e-05,-0.012820833238116726,3.8783406053414916e-05,8.664062867995021
near-term Future,CNRM-ESM2-1,8.5.3,ssp245,4.2591746158167065e-05,1.842716625976923,2.9649578722129748e-05,-1.5701560164412522,3.6822449143394454e-05,6.490353919628457,6.774322413278955e-05,5.303279477643461,3.583065320346178e-05,-5.675634511376977
near-term Future,CNRM-ESM2-1,8.5.4,ssp245,4.013908067824437e-05,5.570033317278895,4.05071741966348e-05,17.791861738197582,3.874633472065087e-05,2.684218241304798,3.902175112771816e-05,-8.143533386044245,4.23117201029417e-05,13.116414987284339
near-term Future,CNRM-ESM2-1,9.2.1,ssp245,1.4505994787718367e-05,-1.2581443852402543,8.048639227300254e-06,28.78971315497892,1.585229156068371e-05,3.142256419832875,2.23180701225035e-05,-12.642485851978105,1.1650407225730281e-05,2.2029817317095146
near-term Future,CNRM-ESM2-1,9.2.2,ssp245,1.625869319600109e-05,-5.889716084303984,7.88627046777439e-06,18.749577927553023,1.6823015373373362e-05,3.9760662803660947,2.5078955127261654e-05,-19.169501561617796,1.5073480987220408e-05,0.2920627072863284
near-term Future,CNRM-ESM2-1,9.2.3,ssp245,2.4377227124160015e-05,-2.3694931735627245,1.1021568662617089e-05,23.633855343489916,3.0432029635959982e-05,0.09588124029220964,3.2462116385864246e-05,-14.299100771608083,2.3326270820942915e-05,4.396849385953769
near-term Future,CNRM-ESM2-1,9.2.4,ssp245,3.2176644838523505e-05,6.399206262467715,1.7142315748496013e-05,19.72488711665466,3.986172808791644e-05,8.190267895553339,3.954707436503577e-05,1.7366693718257713,3.1864454527543314e-05,4.0262560759556285
near-term Future,CNRM-ESM2-1,9.3.1,ssp245,1.1654981542148196e-05,1.068589335978516,6.522896984128487e-06,23.65382114637294,1.3998399543562054e-05,6.015390280077706,1.7401757303933706e-05,-8.881380088539048,8.56510774326199e-06,2.0131907155473625
near-term Future,CNRM-ESM2-1,9.3.3,ssp245,1.1846215603008648e-05,-5.4121452207702445,5.108700254557849e-06,16.76493135654739,1.750767046745849e-05,4.001724824699824,1.5511275677512723e-05,-18.038702788339926,9.098457478398097e-06,-6.931009951006761
near-term Future,CNRM-ESM2-1,9.3.4,ssp245,1.444251388120784e-05,-10.7198613323256,5.453725570272009e-06,29.436178338084584,2.0054493544702382e-05,-8.861627458334036,2.1627998925623867e-05,-19.129258736037567,1.0418134804846052e-05,-9.127959111325332
near-term Future,CNRM-ESM2-1,9.4.1,ssp245,1.2650377563737195e-05,0.12001988706429434,4.735204351235709e-06,11.789214382781843,1.4253062710429762e-05,-1.1978346283306254,2.0545298429976763e-05,-0.22614399391116466,1.0897470723147941e-05,-1.913219922496555
near-term Future,CNRM-ESM2-1,9.4.2,ssp245,2.1083061858918156e-05,2.8746053026308287,8.751804742254652e-06,7.51802064306233,2.6485896820075787e-05,4.570601197307298,2.917733097447407e-05,0.6008227658204811,1.9665908750677165e-05,2.1351368258020926
near-term Future,CNRM-ESM2-1,9.4.3,ssp245,1.3326559821738893e-05,3.3090406843576163,5.7070296082232e-06,10.649778235543108,1.2992923030767318e-05,3.242926742947685,2.1643196228354477e-05,1.8770217124869255,1.2811729512160952e-05,2.831672256075819
near-term Future,CNRM-ESM2-1,9.4.4,ssp245,2.960254126367643e-05,7.07129503332087,1.2058035592835974e-05,15.019540319717443,3.6860492682861125e-05,8.82213091008907,4.036618125141611e-05,3.5699237784335995,2.8780890519715957e-05,6.899666631231524
