Term,Model,Ecoregion,Scenario,Ave25yearSpan_Annual_tasmax,Plot_index_Annual_tasmax,Ave25yearSpan_Winter_tasmax,Plot_index_Winter_tasmax,Ave25yearSpan_Spring_tasmax,Plot_index_Spring_tasmax,Ave25yearSpan_Summer_tasmax,Plot_index_Summer_tasmax,Ave25yearSpan_Fall_tasmax,Plot_index_Fall_tasmax
near-term Future,7,8.4.8,ssp126,298.03832452911564,1.5671519365055921,287.6551095692308,1.734485442594572,298.1051231402936,1.45949469079142,307.4312414202483,1.5465443652609068,298.77115410897756,1.5308902614588291
near-term Future,7,8.4.9,ssp126,296.41631173879466,1.3125640533829994,286.00638631137537,1.3899377032396938,296.78833928833836,1.544385866704193,305.41667469439295,1.1647901161857241,297.26391332228104,1.1508651218833492
near-term Future,7,8.5.1,ssp126,297.4576007732434,1.2243024099376676,287.8213016590843,1.1721459641707526,297.2505962152066,1.3941724198797516,305.93717039108276,1.0732042917997902,298.6499485376379,1.2570450870807335
near-term Future,7,8.5.2,ssp126,298.7733304737497,1.2916482843882129,289.0194133613496,1.5233183859662542,298.9112200434311,1.318714003148287,307.26712981265524,1.152010163846228,299.7192436675187,1.1757224711743
near-term Future,7,8.5.3,ssp126,302.1524805099258,0.9899934725437056,295.4428213984408,0.8356180309403882,302.6021835335441,1.2322802290709163,307.55393049986463,0.895608268406086,302.8906515096308,0.9935527805705604
near-term Future,7,8.5.4,ssp126,292.60066689406005,1.1988969543422847,281.1722305179031,1.331206569871254,291.3587240556465,1.139934480987172,303.3981502350517,1.1352393755705457,294.2731105462273,1.1916598674229242
near-term Future,7,9.2.1,ssp126,285.37388716531404,1.3985081950579108,268.94913005432045,1.5733256645589213,285.0641693993381,1.1809185992481446,299.98518195857173,1.1589730938621194,287.2027332662607,1.6872987849122048
near-term Future,7,9.2.2,ssp126,285.3471140784987,1.580942000732513,267.62975821173836,1.5830889459337554,285.292883491308,1.45461270470172,300.79395778448685,1.4317711917213707,287.3547381058294,1.857340564786325
near-term Future,7,9.2.3,ssp126,291.24480139714075,1.925108468742991,277.0796241180832,2.969365465492943,291.108946470141,1.5673475820721023,304.202580171668,1.7430922159941282,292.32885198713655,1.4352814955550883
near-term Future,7,9.2.4,ssp126,294.78983186049095,1.8966759217637197,282.66261396019456,3.1320474769979523,294.570194633629,1.5292649985874185,306.017051928147,1.4457005484207848,295.68722221180633,1.4990013078673847
near-term Future,7,9.3.1,ssp126,286.54213392426885,1.126448218255259,271.03546451903117,1.2020806034517904,285.8015009165928,0.7346152205991991,300.7782064798604,1.0152517277261488,288.27555599811967,1.5600047729025182
