variable,variable_name,units,model,experiment,scenario,period,season,ecoregion,ecoregion_name,mean,delta,pct_change
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,7.1.5,Coastal Western Hemlock-Sitka Spruce Forests,6.24366638326223,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,7.1.6,Pacific and Nass Ranges,4.522072670075044,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,7.1.7,Strait of Georgia/Puget Lowland,10.15347780501574,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,7.1.8,Coast Range,11.314863541330062,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,7.1.9,Willamette Valley,12.163271871467725,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.1.1,Eastern Great Lakes Lowlands,7.152764333842718,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.1.10,Erie Drift Plain,10.045905619842252,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.1.2,Lake Erie Lowland,8.920450058983585,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.1.3,Northern Allegheny Plateau,8.437283995644046,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.1.4,North Central Hardwood Forests,6.975944508564863,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.1.5,Driftless Area,8.405871428188275,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.1.6,Southern Michigan/Northern Indiana Drift Plains,9.833633877410096,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.1.7,Northeastern Coastal Zone,10.447231959373209,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.1.8,Acadian Plains and Hills,5.454462624824473,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.1.9,Maritime Lowlands,5.669051632523699,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.2.1,Southeastern Wisconsin Till Plains,8.519358625860864,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.2.2,Huron/Erie Lake Plains,9.70892648984408,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.2.3,Central Corn Belt Plains,11.0732366805427,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.2.4,Eastern Corn Belt Plains,11.367366716251706,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.3.1,Northern Piedmont,12.900808597203556,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.3.2,Interior River Valleys and Hills,13.296425822283604,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.3.3,Interior Plateau,14.5286440109555,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.3.4,Piedmont,16.448926425755086,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.3.5,Southeastern Plains,18.37890695660569,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,8.3.6,Mississippi Valley Loess Plains,17.82758527675529,0.0,
