Term,Model,Ecoregion,Scenario,Ave25yearSpan_Annual_Pr,Plot_index_Annual_Pr,Ave25yearSpan_Winter_pr,Plot_index_Winter_pr,Ave25yearSpan_Spring_pr,Plot_index_Spring_pr,Ave25yearSpan_Summer_pr,Plot_index_Summer_pr,Ave25yearSpan_Fall_pr,Plot_index_Fall_pr
long-term Future,21,9.4.6,ssp245,2.01E-05,5.655332282,1.19E-05,3.280885612,2.67E-05,26.87369843,2.02E-05,0.041040968,2.17E-05,-7.13772273
near-term Future,21,9.4.7,ssp245,3.16E-05,3.077577055,2.59E-05,7.141945809,4.21E-05,17.97320491,2.67E-05,0.499231922,3.15E-05,-13.85694266
mid-term Future,21,9.4.7,ssp245,3.08E-05,0.515428511,2.58E-05,6.67177714,3.45E-05,-3.471475224,2.58E-05,-2.575724708,3.68E-05,0.367875539
long-term Future,21,9.4.7,ssp245,3.20E-05,4.391871765,2.61E-05,8.100156909,4.53E-05,26.71690219,2.65E-05,-0.24142147,3.05E-05,-16.81390047
near-term Future,21,9.5.1,ssp245,3.10E-05,5.032619461,2.44E-05,1.584040128,2.97E-05,19.42611507,3.28E-05,1.803409684,3.68E-05,-0.579313816
mid-term Future,21,9.5.1,ssp245,3.06E-05,3.624432907,2.49E-05,3.742251175,2.39E-05,-3.934177592,3.52E-05,9.43047118,3.84E-05,3.635423011
long-term Future,21,9.5.1,ssp245,2.91E-05,-1.456774026,2.56E-05,6.337948445,2.79E-05,12.3310378,2.86E-05,-11.20711604,3.45E-05,-6.939479645
near-term Future,21,9.6.1,ssp245,1.69E-05,3.745980933,8.25E-06,6.489851605,1.62E-05,10.6315297,1.99E-05,1.699699254,2.32E-05,-0.437400923
mid-term Future,21,9.6.1,ssp245,1.75E-05,7.405394316,8.87E-06,14.43606244,1.49E-05,1.667611748,2.08E-05,6.098207746,2.55E-05,9.333853292
long-term Future,21,9.6.1,ssp245,1.59E-05,-2.772517875,7.90E-06,1.986077991,1.69E-05,15.31787709,1.64E-05,-16.09273366,2.24E-05,-3.839078509
