Year,City,Scenario,WarmSpell3,WarmSpell3_min,WarmSpell3_min_model,WarmSpell3_max,WarmSpell3_max_model
1970,Baltimore,historical,6.666666666666667,5.55,ACCESS-CM2,7.75,EC-Earth3
1971,Baltimore,historical,5.8999999999999995,4.1,EC-Earth3,7.35,ACCESS-CM2
1972,Baltimore,historical,5.3,4.0,EC-Earth3,6.05,CNRM-ESM2-1
1973,Baltimore,historical,5.916666666666667,4.9,ACCESS-CM2,6.9,CNRM-ESM2-1
1974,Baltimore,historical,6.3999999999999995,5.5,EC-Earth3,6.85,ACCESS-CM2
1975,Baltimore,historical,6.45,5.7,CNRM-ESM2-1,6.85,ACCESS-CM2
1976,Baltimore,historical,6.3,5.65,EC-Earth3,7.15,CNRM-ESM2-1
1977,Baltimore,historical,5.2,4.6,CNRM-ESM2-1,5.9,EC-Earth3
1978,Baltimore,historical,5.266666666666667,2.55,EC-Earth3,6.7,ACCESS-CM2
1979,Baltimore,historical,6.3,6.15,EC-Earth3,6.45,ACCESS-CM2
1980,Baltimore,historical,6.133333333333333,5.55,CNRM-ESM2-1,6.5,ACCESS-CM2
1981,Baltimore,historical,5.650000000000001,4.0,ACCESS-CM2,8.3,CNRM-ESM2-1
1982,Baltimore,historical,5.166666666666667,4.15,EC-Earth3,6.1,CNRM-ESM2-1
1983,Baltimore,historical,6.966666666666668,4.7,ACCESS-CM2,9.05,EC-Earth3
1984,Baltimore,historical,4.75,3.35,CNRM-ESM2-1,6.1,ACCESS-CM2
1985,Baltimore,historical,4.716666666666667,4.15,EC-Earth3,5.25,ACCESS-CM2
1986,Baltimore,historical,6.033333333333334,5.5,CNRM-ESM2-1,6.45,ACCESS-CM2
1987,Baltimore,historical,4.316666666666667,1.8,EC-Earth3,5.75,CNRM-ESM2-1
1988,Baltimore,historical,5.983333333333333,4.95,ACCESS-CM2,8.05,CNRM-ESM2-1
1989,Baltimore,historical,5.383333333333333,4.25,EC-Earth3,7.05,CNRM-ESM2-1
1990,Baltimore,historical,4.5,2.85,CNRM-ESM2-1,6.8,EC-Earth3
1991,Baltimore,historical,6.183333333333334,4.2,EC-Earth3,7.35,CNRM-ESM2-1
1992,Baltimore,historical,5.833333333333333,4.0,CNRM-ESM2-1,7.45,ACCESS-CM2
1993,Baltimore,historical,5.6499999999999995,5.35,EC-Earth3,6.05,CNRM-ESM2-1
1994,Baltimore,historical,5.616666666666667,3.95,CNRM-ESM2-1,7.55,ACCESS-CM2
1995,Baltimore,historical,6.566666666666666,5.75,ACCESS-CM2,7.0,EC-Earth3
1996,Baltimore,historical,3.8166666666666664,0.8,ACCESS-CM2,6.15,CNRM-ESM2-1
1997,Baltimore,historical,6.533333333333334,6.1,CNRM-ESM2-1,7.0,EC-Earth3
1998,Baltimore,historical,4.766666666666667,3.25,EC-Earth3,5.65,ACCESS-CM2
1999,Baltimore,historical,7.183333333333334,5.0,ACCESS-CM2,8.8,EC-Earth3
2000,Baltimore,historical,6.616666666666667,5.55,ACCESS-CM2,7.55,CNRM-ESM2-1
2001,Baltimore,historical,6.7,4.1,CNRM-ESM2-1,10.25,EC-Earth3
2002,Baltimore,historical,3.85,3.45,ACCESS-CM2,4.35,EC-Earth3
2003,Baltimore,historical,6.316666666666666,4.55,CNRM-ESM2-1,7.75,EC-Earth3
2004,Baltimore,historical,4.633333333333333,4.05,CNRM-ESM2-1,5.05,EC-Earth3
2005,Baltimore,historical,7.383333333333333,6.1,EC-Earth3,8.75,ACCESS-CM2
2006,Baltimore,historical,6.516666666666667,5.9,CNRM-ESM2-1,6.95,EC-Earth3
2007,Baltimore,historical,5.433333333333334,5.0,ACCESS-CM2,6.15,CNRM-ESM2-1
2008,Baltimore,historical,3.6166666666666667,2.45,ACCESS-CM2,4.3,CNRM-ESM2-1
2009,Baltimore,historical,5.95,5.25,ACCESS-CM2,7.35,CNRM-ESM2-1
2010,Baltimore,historical,5.016666666666667,3.1,ACCESS-CM2,6.0,CNRM-ESM2-1
2011,Baltimore,historical,5.916666666666667,4.15,EC-Earth3,8.35,CNRM-ESM2-1
2012,Baltimore,historical,6.916666666666667,6.25,ACCESS-CM2,7.85,CNRM-ESM2-1
2013,Baltimore,historical,6.666666666666667,5.9,EC-Earth3,7.95,CNRM-ESM2-1
2014,Baltimore,historical,5.95,4.85,CNRM-ESM2-1,7.75,EC-Earth3
1951,Boston,historical,3.9247311827956985,3.193548387096774,EC-Earth3,5.0,CNRM-ESM2-1
1952,Boston,historical,3.7849462365591395,2.5806451612903225,CNRM-ESM2-1,4.387096774193548,ACCESS-CM2
1953,Boston,historical,3.2688172043010755,2.225806451612903,CNRM-ESM2-1,4.645161290322581,ACCESS-CM2
1954,Boston,historical,3.2258064516129026,2.7419354838709675,CNRM-ESM2-1,4.032258064516129,EC-Earth3
1955,Boston,historical,3.7096774193548385,3.2580645161290325,ACCESS-CM2,4.032258064516129,EC-Earth3
1956,Boston,historical,3.6344086021505375,2.6129032258064515,EC-Earth3,4.161290322580645,CNRM-ESM2-1
1957,Boston,historical,3.086021505376344,2.064516129032258,CNRM-ESM2-1,4.67741935483871,EC-Earth3
1958,Boston,historical,3.8602150537634405,3.032258064516129,ACCESS-CM2,5.354838709677419,EC-Earth3
1959,Boston,historical,4.860215053763441,4.258064516129032,ACCESS-CM2,5.774193548387097,CNRM-ESM2-1
1960,Boston,historical,4.559139784946236,3.290322580645161,ACCESS-CM2,5.354838709677419,EC-Earth3
1961,Boston,historical,3.5161290322580645,1.870967741935484,CNRM-ESM2-1,4.516129032258065,ACCESS-CM2
1962,Boston,historical,4.107526881720431,3.7096774193548394,CNRM-ESM2-1,4.870967741935484,EC-Earth3
1963,Boston,historical,3.913978494623656,3.5161290322580645,CNRM-ESM2-1,4.32258064516129,EC-Earth3
1964,Boston,historical,3.5268817204301075,2.419354838709677,CNRM-ESM2-1,4.258064516129032,EC-Earth3
1965,Boston,historical,3.516129032258064,3.0,EC-Earth3,4.0,CNRM-ESM2-1
1966,Boston,historical,3.0752688172043015,1.8064516129032255,ACCESS-CM2,4.612903225806452,EC-Earth3
1967,Boston,historical,2.9462365591397845,2.225806451612903,ACCESS-CM2,3.935483870967742,CNRM-ESM2-1
1968,Boston,historical,3.1397849462365595,1.5806451612903225,CNRM-ESM2-1,4.129032258064516,ACCESS-CM2
1969,Boston,historical,3.5806451612903225,3.032258064516129,CNRM-ESM2-1,4.0,EC-Earth3
1970,Boston,historical,4.10752688172043,3.645161290322581,CNRM-ESM2-1,5.0,EC-Earth3
1971,Boston,historical,2.9892473118279566,2.7096774193548385,CNRM-ESM2-1,3.129032258064516,ACCESS-CM2
1972,Boston,historical,3.3225806451612905,1.7419354838709675,EC-Earth3,4.451612903225806,CNRM-ESM2-1
1973,Boston,historical,4.752688172043011,4.483870967741935,ACCESS-CM2,4.935483870967742,EC-Earth3
1974,Boston,historical,3.43010752688172,2.3548387096774195,CNRM-ESM2-1,4.419354838709677,EC-Earth3
1975,Boston,historical,5.612903225806452,4.870967741935484,CNRM-ESM2-1,6.0,EC-Earth3
1976,Boston,historical,3.64516129032258,1.8387096774193548,CNRM-ESM2-1,6.32258064516129,ACCESS-CM2
1977,Boston,historical,5.010752688172043,4.67741935483871,ACCESS-CM2,5.419354838709677,CNRM-ESM2-1
1978,Boston,historical,4.096774193548387,3.193548387096774,EC-Earth3,5.193548387096774,ACCESS-CM2
1979,Boston,historical,4.537634408602151,3.774193548387097,CNRM-ESM2-1,5.483870967741935,EC-Earth3
1980,Boston,historical,5.161290322580645,3.612903225806452,CNRM-ESM2-1,6.064516129032258,EC-Earth3
1981,Boston,historical,5.150537634408601,3.903225806451613,EC-Earth3,7.225806451612903,CNRM-ESM2-1
1982,Boston,historical,3.4838709677419346,2.677419354838709,EC-Earth3,4.451612903225806,CNRM-ESM2-1
1983,Boston,historical,3.612903225806452,3.5161290322580645,ACCESS-CM2,3.6774193548387095,CNRM-ESM2-1
1984,Boston,historical,2.89247311827957,1.3548387096774193,CNRM-ESM2-1,3.806451612903226,ACCESS-CM2
1985,Boston,historical,3.4408602150537635,2.2580645161290325,ACCESS-CM2,4.193548387096774,CNRM-ESM2-1
1986,Boston,historical,3.5483870967741935,2.2580645161290325,EC-Earth3,4.419354838709677,ACCESS-CM2
1987,Boston,historical,3.6666666666666665,1.7419354838709675,EC-Earth3,5.451612903225806,CNRM-ESM2-1
1988,Boston,historical,4.677419354838709,2.7419354838709675,ACCESS-CM2,6.064516129032258,EC-Earth3
1989,Boston,historical,3.4086021505376345,2.806451612903226,ACCESS-CM2,4.193548387096774,CNRM-ESM2-1
1990,Boston,historical,3.3978494623655915,1.1612903225806452,ACCESS-CM2,5.870967741935484,EC-Earth3
1991,Boston,historical,4.860215053763441,3.935483870967742,ACCESS-CM2,5.709677419354839,EC-Earth3
1992,Boston,historical,4.139784946236559,2.419354838709677,ACCESS-CM2,5.032258064516129,EC-Earth3
1993,Boston,historical,4.526881720430107,3.064516129032258,ACCESS-CM2,6.483870967741935,CNRM-ESM2-1
1994,Boston,historical,2.4086021505376345,0.8064516129032258,CNRM-ESM2-1,3.612903225806452,ACCESS-CM2
1995,Boston,historical,4.354838709677419,2.935483870967742,ACCESS-CM2,5.419354838709677,EC-Earth3
1996,Boston,historical,3.064516129032258,1.4516129032258065,ACCESS-CM2,4.290322580645161,EC-Earth3
1997,Boston,historical,4.860215053763441,3.161290322580645,CNRM-ESM2-1,6.483870967741935,EC-Earth3
1998,Boston,historical,4.408602150537634,3.225806451612903,ACCESS-CM2,5.32258064516129,CNRM-ESM2-1
1999,Boston,historical,4.053763440860215,2.3870967741935485,EC-Earth3,4.935483870967742,CNRM-ESM2-1
2000,Boston,historical,5.161290322580645,3.129032258064516,EC-Earth3,7.806451612903226,CNRM-ESM2-1
2001,Boston,historical,4.387096774193548,3.967741935483871,CNRM-ESM2-1,5.129032258064516,EC-Earth3
2002,Boston,historical,3.086021505376344,2.4516129032258065,EC-Earth3,3.548387096774193,CNRM-ESM2-1
2003,Boston,historical,4.516129032258065,3.064516129032258,ACCESS-CM2,5.806451612903226,EC-Earth3
2004,Boston,historical,4.591397849462365,2.032258064516129,EC-Earth3,6.129032258064516,CNRM-ESM2-1
2005,Boston,historical,3.0967741935483875,2.7096774193548385,ACCESS-CM2,3.3225806451612905,EC-Earth3
2006,Boston,historical,4.666666666666667,4.258064516129032,ACCESS-CM2,4.967741935483871,EC-Earth3
2007,Boston,historical,4.645161290322581,4.516129032258065,CNRM-ESM2-1,4.741935483870968,ACCESS-CM2
2008,Boston,historical,3.8817204301075274,2.774193548387097,ACCESS-CM2,6.064516129032258,CNRM-ESM2-1
2009,Boston,historical,4.978494623655914,3.064516129032258,EC-Earth3,6.225806451612903,CNRM-ESM2-1
2010,Boston,historical,5.053763440860216,4.548387096774194,CNRM-ESM2-1,6.032258064516129,ACCESS-CM2
2011,Boston,historical,4.666666666666667,2.0,ACCESS-CM2,6.483870967741935,CNRM-ESM2-1
2012,Boston,historical,5.548387096774193,4.451612903225806,EC-Earth3,6.096774193548387,ACCESS-CM2
2013,Boston,historical,6.096774193548387,5.387096774193548,ACCESS-CM2,7.096774193548387,EC-Earth3
2014,Boston,historical,4.795698924731183,3.645161290322581,ACCESS-CM2,5.580645161290323,EC-Earth3
1951,Calgary,historical,0.5185185185185185,0.0277777777777777,ACCESS-CM2,0.8055555555555556,EC-Earth3
1952,Calgary,historical,1.4722222222222223,0.0,CNRM-ESM2-1,2.555555555555556,ACCESS-CM2
1953,Calgary,historical,1.6944444444444446,1.0,CNRM-ESM2-1,2.7222222222222223,EC-Earth3
1954,Calgary,historical,0.4074074074074074,0.0277777777777777,EC-Earth3,0.8055555555555556,ACCESS-CM2
1955,Calgary,historical,1.5648148148148149,0.7222222222222222,ACCESS-CM2,2.305555555555556,EC-Earth3
1956,Calgary,historical,0.8888888888888888,0.75,ACCESS-CM2,1.0833333333333333,CNRM-ESM2-1
1957,Calgary,historical,1.7314814814814816,1.1666666666666667,ACCESS-CM2,2.555555555555556,EC-Earth3
1958,Calgary,historical,0.6759259259259259,0.3611111111111111,CNRM-ESM2-1,1.2222222222222223,EC-Earth3
1959,Calgary,historical,1.2962962962962963,0.0,ACCESS-CM2,3.2777777777777777,EC-Earth3
1960,Calgary,historical,0.8981481481481483,0.0,ACCESS-CM2,2.6944444444444446,EC-Earth3
