Year,City,Scenario,TRCmax,TRCmax_min,TRCmax_min_model,TRCmax_max,TRCmax_max_model,TRCmaxmin,TRCmaxmin_min,TRCmaxmin_min_model,TRCmaxmin_max,TRCmaxmin_max_model
1961,Austin,historical,0.2692307692307692,0.0,ACCESS-CM2,0.8076923076923077,CNRM-ESM2-1,20.48717948717949,15.653846153846152,ACCESS-CM2,24.192307692307693,CNRM-ESM2-1
1962,Austin,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,21.58974358974359,13.307692307692308,ACCESS-CM2,32.80769230769231,CNRM-ESM2-1
1963,Austin,historical,0.3846153846153845,0.0,ACCESS-CM2,1.1538461538461535,EC-Earth3,20.346153846153843,18.115384615384617,CNRM-ESM2-1,21.807692307692307,ACCESS-CM2
1964,Austin,historical,0.012820512820512801,0.0,ACCESS-CM2,0.0384615384615384,CNRM-ESM2-1,18.653846153846157,9.846153846153848,ACCESS-CM2,25.923076923076923,EC-Earth3
1965,Austin,historical,0.14102564102564102,0.0,CNRM-ESM2-1,0.4230769230769231,ACCESS-CM2,19.333333333333332,11.846153846153848,ACCESS-CM2,24.96153846153846,EC-Earth3
1966,Austin,historical,0.025641025641025633,0.0,ACCESS-CM2,0.0769230769230769,EC-Earth3,23.064102564102566,13.5,CNRM-ESM2-1,38.42307692307692,EC-Earth3
1967,Austin,historical,0.3333333333333333,0.0,ACCESS-CM2,1.0,CNRM-ESM2-1,16.75641025641026,15.307692307692308,CNRM-ESM2-1,18.653846153846157,EC-Earth3
1968,Austin,historical,0.7435897435897436,0.0,EC-Earth3,1.807692307692308,CNRM-ESM2-1,25.30769230769231,16.923076923076923,ACCESS-CM2,32.73076923076923,CNRM-ESM2-1
1969,Austin,historical,0.4487179487179487,0.0,EC-Earth3,1.1923076923076923,CNRM-ESM2-1,24.64102564102564,19.76923076923077,CNRM-ESM2-1,34.26923076923077,EC-Earth3
1970,Austin,historical,0.3846153846153846,0.0,EC-Earth3,0.6153846153846154,ACCESS-CM2,18.807692307692307,16.115384615384617,EC-Earth3,22.5,CNRM-ESM2-1
1971,Austin,historical,0.44871794871794884,0.0,ACCESS-CM2,1.3461538461538465,EC-Earth3,11.62820512820513,7.230769230769231,CNRM-ESM2-1,14.846153846153848,ACCESS-CM2
1972,Austin,historical,0.025641025641025633,0.0,ACCESS-CM2,0.0769230769230769,CNRM-ESM2-1,15.166666666666666,9.26923076923077,ACCESS-CM2,19.384615384615383,EC-Earth3
1973,Austin,historical,1.0897435897435896,0.5769230769230769,ACCESS-CM2,1.9230769230769231,EC-Earth3,21.794871794871796,16.53846153846154,CNRM-ESM2-1,26.846153846153847,EC-Earth3
1974,Austin,historical,0.08974358974358974,0.0,CNRM-ESM2-1,0.2692307692307692,ACCESS-CM2,21.48717948717949,17.846153846153847,CNRM-ESM2-1,23.5,EC-Earth3
1975,Austin,historical,1.141025641025641,0.1538461538461538,EC-Earth3,2.8076923076923075,ACCESS-CM2,22.128205128205128,16.153846153846153,EC-Earth3,26.76923076923077,CNRM-ESM2-1
1976,Austin,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,18.73076923076923,5.307692307692308,ACCESS-CM2,29.07692307692308,EC-Earth3
1977,Austin,historical,0.28205128205128205,0.0,ACCESS-CM2,0.8461538461538461,EC-Earth3,16.128205128205128,14.461538461538462,ACCESS-CM2,17.53846153846154,EC-Earth3
1978,Austin,historical,0.9358974358974358,0.0,CNRM-ESM2-1,2.769230769230769,EC-Earth3,25.576923076923077,20.192307692307693,CNRM-ESM2-1,32.30769230769231,EC-Earth3
1979,Austin,historical,0.08974358974358974,0.0,CNRM-ESM2-1,0.2692307692307692,ACCESS-CM2,14.71794871794872,5.961538461538462,CNRM-ESM2-1,21.26923076923077,EC-Earth3
1980,Austin,historical,0.15384615384615383,0.0,ACCESS-CM2,0.4615384615384615,CNRM-ESM2-1,15.12820512820513,8.26923076923077,ACCESS-CM2,22.5,EC-Earth3
1981,Austin,historical,0.6794871794871794,0.0,CNRM-ESM2-1,2.0384615384615383,ACCESS-CM2,17.85897435897436,14.576923076923077,EC-Earth3,24.26923076923077,ACCESS-CM2
1982,Austin,historical,1.0,0.6923076923076923,EC-Earth3,1.2692307692307692,CNRM-ESM2-1,27.025641025641026,26.26923076923077,ACCESS-CM2,28.53846153846154,EC-Earth3
1983,Austin,historical,0.3333333333333333,0.0,CNRM-ESM2-1,1.0,ACCESS-CM2,16.871794871794872,14.26923076923077,EC-Earth3,18.53846153846154,CNRM-ESM2-1
1984,Austin,historical,0.3333333333333333,0.0,ACCESS-CM2,1.0,CNRM-ESM2-1,20.74358974358974,9.653846153846152,ACCESS-CM2,29.96153846153846,CNRM-ESM2-1
1985,Austin,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,21.43589743589743,13.73076923076923,ACCESS-CM2,32.26923076923077,EC-Earth3
1986,Austin,historical,0.48717948717948717,0.1153846153846153,CNRM-ESM2-1,1.0,EC-Earth3,23.397435897435898,14.0,CNRM-ESM2-1,30.692307692307693,EC-Earth3
1987,Austin,historical,0.23076923076923073,0.0,ACCESS-CM2,0.5769230769230769,EC-Earth3,16.205128205128204,7.076923076923077,ACCESS-CM2,25.0,EC-Earth3
1988,Austin,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,17.26923076923077,13.692307692307692,ACCESS-CM2,23.346153846153847,EC-Earth3
1989,Austin,historical,1.205128205128205,0.4230769230769231,EC-Earth3,1.9230769230769231,CNRM-ESM2-1,20.153846153846153,13.692307692307692,ACCESS-CM2,23.807692307692307,CNRM-ESM2-1
1990,Austin,historical,0.35897435897435903,0.0,EC-Earth3,0.9230769230769232,ACCESS-CM2,20.615384615384617,14.538461538461538,CNRM-ESM2-1,26.807692307692307,EC-Earth3
1991,Austin,historical,0.6794871794871794,0.0,EC-Earth3,1.3076923076923077,CNRM-ESM2-1,18.58974358974359,16.192307692307693,ACCESS-CM2,22.384615384615383,CNRM-ESM2-1
1992,Austin,historical,0.8333333333333334,0.0,ACCESS-CM2,2.5,EC-Earth3,20.807692307692307,10.307692307692308,ACCESS-CM2,35.15384615384615,EC-Earth3
1993,Austin,historical,0.21794871794871795,0.0,CNRM-ESM2-1,0.6538461538461539,ACCESS-CM2,21.820512820512818,15.73076923076923,CNRM-ESM2-1,25.307692307692307,ACCESS-CM2
1994,Austin,historical,0.25641025641025644,0.0,ACCESS-CM2,0.7692307692307693,CNRM-ESM2-1,19.794871794871792,14.884615384615383,ACCESS-CM2,29.53846153846154,CNRM-ESM2-1
1995,Austin,historical,0.28205128205128205,0.0,ACCESS-CM2,0.8461538461538461,CNRM-ESM2-1,16.371794871794872,11.807692307692308,EC-Earth3,19.153846153846157,CNRM-ESM2-1
1996,Austin,historical,0.3974358974358974,0.0,CNRM-ESM2-1,1.1923076923076923,ACCESS-CM2,23.128205128205128,17.03846153846154,CNRM-ESM2-1,27.76923076923077,ACCESS-CM2
1997,Austin,historical,0.16666666666666666,0.0,ACCESS-CM2,0.5,EC-Earth3,17.538461538461537,11.576923076923077,ACCESS-CM2,23.423076923076923,EC-Earth3
1998,Austin,historical,0.5128205128205128,0.0,EC-Earth3,1.0,CNRM-ESM2-1,20.205128205128204,16.0,EC-Earth3,24.73076923076923,CNRM-ESM2-1
1999,Austin,historical,0.15384615384615383,0.0,ACCESS-CM2,0.4615384615384615,CNRM-ESM2-1,15.17948717948718,11.5,ACCESS-CM2,17.692307692307693,EC-Earth3
2000,Austin,historical,1.0,0.0,ACCESS-CM2,3.0,EC-Earth3,16.01282051282051,12.076923076923077,CNRM-ESM2-1,22.307692307692307,EC-Earth3
