Year,Model,Ecoregion,Scenario,WarmSpell3,WarmSpell3_min,WarmSpell3_max
2000,1,10.1.5,historical,5.626666667,1,9
2001,1,10.1.5,historical,4.782857143,1,8
2002,1,10.1.5,historical,4.803809524,1,8
2003,1,10.1.5,historical,5.447619048,1,10
2004,1,10.1.5,historical,4.388571429,1,8
2005,1,10.1.5,historical,4.281904762,2,7
2006,1,10.1.5,historical,4.615238095,0,8
2007,1,10.1.5,historical,3.876190476,0,6
2008,1,10.1.5,historical,4.165714286,1,8
2009,1,10.1.5,historical,4.779047619,2,8
2010,1,10.1.5,historical,4.834285714,0,8
2011,1,10.1.5,historical,5.04952381,1,9
2012,1,10.1.5,historical,4.986666667,1,8
2013,1,10.1.5,historical,4.540952381,0,7
2014,1,10.1.5,historical,3.447619048,1,6
1951,1,10.1.6,historical,5.619469027,1,10
1952,1,10.1.6,historical,4.592920354,0,9
1953,1,10.1.6,historical,2.902654867,0,8
1954,1,10.1.6,historical,3.473451327,1,8
1955,1,10.1.6,historical,4.973451327,0,10
1956,1,10.1.6,historical,3.172566372,0,5
1957,1,10.1.6,historical,1.986725664,0,8
1958,1,10.1.6,historical,3.084070796,1,6
1959,1,10.1.6,historical,2.389380531,0,8
1960,1,10.1.6,historical,3.247787611,1,7
1961,1,10.1.6,historical,5.840707965,2,9
1962,1,10.1.6,historical,4.482300885,0,11
1963,1,10.1.6,historical,2.084070796,0,9
1964,1,10.1.6,historical,1.82300885,0,7
1965,1,10.1.6,historical,3.132743363,1,8
1966,1,10.1.6,historical,4.128318584,0,9
1967,1,10.1.6,historical,3.783185841,0,9
1968,1,10.1.6,historical,4.243362832,0,7
1969,1,10.1.6,historical,4.455752212,0,8
1970,1,10.1.6,historical,1.942477876,0,7
1971,1,10.1.6,historical,3.150442478,0,7
1972,1,10.1.6,historical,5.296460177,2,8
1973,1,10.1.6,historical,4.623893805,1,9
1974,1,10.1.6,historical,4.150442478,0,7
1975,1,10.1.6,historical,3.132743363,1,5
1976,1,10.1.6,historical,3.67699115,2,6
1977,1,10.1.6,historical,4.234513274,0,11
1978,1,10.1.6,historical,4.544247788,1,8
1979,1,10.1.6,historical,3.668141593,1,6
1980,1,10.1.6,historical,3.659292035,0,9
1981,1,10.1.6,historical,3.194690265,0,7
1982,1,10.1.6,historical,2.787610619,0,7
1983,1,10.1.6,historical,4.460176991,1,7
1984,1,10.1.6,historical,3.982300885,0,8
1985,1,10.1.6,historical,2.345132743,0,9
1986,1,10.1.6,historical,3.623893805,0,7
1987,1,10.1.6,historical,5.477876106,0,9
1988,1,10.1.6,historical,5.013274336,1,8
1989,1,10.1.6,historical,4.287610619,0,8
1990,1,10.1.6,historical,3.836283186,0,9
1991,1,10.1.6,historical,4.278761062,0,10
1992,1,10.1.6,historical,5.553097345,2,11
1993,1,10.1.6,historical,3.252212389,1,8
1994,1,10.1.6,historical,4.690265487,0,10
1995,1,10.1.6,historical,4.871681416,0,10
1996,1,10.1.6,historical,4.340707965,0,8
1997,1,10.1.6,historical,5.411504425,1,8
1998,1,10.1.6,historical,3.911504425,0,8
1999,1,10.1.6,historical,4.769911504,0,8
2000,1,10.1.6,historical,4.67699115,1,9
2001,1,10.1.6,historical,3.915929204,0,7
2002,1,10.1.6,historical,4.128318584,1,6
2003,1,10.1.6,historical,5.128318584,1,9
2004,1,10.1.6,historical,4.221238938,1,8
2005,1,10.1.6,historical,4.592920354,1,10
2006,1,10.1.6,historical,3.982300885,0,7
2007,1,10.1.6,historical,2.809734513,0,6
2008,1,10.1.6,historical,3.623893805,0,8
2009,1,10.1.6,historical,5.438053097,1,8
2010,1,10.1.6,historical,4.013274336,0,8
2011,1,10.1.6,historical,3.747787611,1,7
2012,1,10.1.6,historical,3.933628319,0,7
2013,1,10.1.6,historical,2.920353982,0,6
