Term,Model,Ecoregion,Scenario,Ave25yearSpan_Annual_tas,Plot_index_Annual_tas,Ave25yearSpan_Winter_tas,Plot_index_Winter_tas,Ave25yearSpan_Spring_tas,Plot_index_Spring_tas,Ave25yearSpan_Summer_tas,Plot_index_Summer_tas,Ave25yearSpan_Fall_tas,Plot_index_Fall_tas
mid-term Future,1,2.4.2,ssp585,268.3738370523129,5.6332682682077575,253.4574468044326,8.70370345883045,262.5797230590925,4.768388038994821,285.2892814825532,3.5806611644715556,271.9221079947623,5.538023905894887
mid-term Future,1,2.4.3,ssp585,272.3261402252653,5.745067743597798,262.35625203093167,10.20209785276307,267.9127682763806,5.858561058921244,283.916256928107,3.379098330786169,274.9571533383711,3.6024897646729492
mid-term Future,1,2.4.4,ssp585,266.32374572414506,5.941972672286637,251.53129020564865,8.72131482488641,259.7737956151849,4.964709196696184,283.2174159976311,3.433596942873632,270.5352724368125,6.709785540525259
mid-term Future,1,3.1.1,ssp585,274.79228099012823,5.914547661831113,263.14781653920477,9.415780481757308,272.6149523325134,4.976221937192908,289.0664128884025,4.056065212125365,274.10975982431137,5.270098237320166
mid-term Future,1,3.1.2,ssp585,276.61848379984167,5.758101233702371,264.5913700857884,9.042377125516516,275.1492271690131,4.829369930646018,290.91174944172735,4.121849999427795,275.5802191024672,5.094423617846729
mid-term Future,1,3.1.3,ssp585,274.908411588131,5.654067173391974,260.98518316011075,9.190442921005511,273.73029150444427,4.5750506182300406,290.92094594996905,3.779288795616317,273.71792828873123,5.133480210376719
mid-term Future,1,3.2.1,ssp585,271.18503093538857,5.550223000069968,257.3181655785531,8.75146470494991,269.1911763607556,4.528857254733516,287.0584140645421,3.766927179817273,270.9040342626956,5.211198962551674
mid-term Future,1,3.2.2,ssp585,270.4028619459752,4.746397780500741,255.7954305364618,6.855668334260663,268.9586164882443,3.8757040129729052,286.2753255097244,3.722723540874279,270.3015272716983,4.569928350686454
mid-term Future,1,3.2.3,ssp585,272.61725751916,5.134167846927155,256.9292283308276,7.579306000202944,271.1095794134441,4.23316960639047,289.6709610562739,3.9555837470552184,272.45740492868185,4.811885521278645
mid-term Future,1,3.3.1,ssp585,272.7698595480533,5.637137481293552,256.85415329022317,8.638263612120337,270.3459159011361,4.869850631377701,290.12140090392984,3.95795799317567,273.46100617972735,5.134426284076999
mid-term Future,1,3.3.2,ssp585,277.0088287097973,4.912607900768334,260.92510975325825,6.661470858533356,276.44923134837904,3.823837769913852,292.7022562883211,4.5001420056301615,277.6580860577575,4.6960839566211785
mid-term Future,1,3.4.1,ssp585,272.10763922811344,5.292547345214903,255.59470009515522,7.603264207601654,268.3365136448494,4.213308206542962,289.50087640814155,4.234398954977159,274.71086296938654,5.162004081455679
mid-term Future,1,3.4.2,ssp585,274.71378559357936,5.314462635412985,261.61889844541236,8.377424771341014,271.2915876052906,4.8795585234810686,288.42468020252556,3.8992985113289063,277.29754962819584,4.147479938350638
mid-term Future,1,3.4.3,ssp585,275.5805368613881,5.037424677018321,263.47497695058246,7.354908161974993,272.94693376285306,4.990559706809809,288.59156954070795,4.00194201422774,277.09352812423316,3.8335375622208074
mid-term Future,1,3.4.4,ssp585,273.86535260332187,5.373873655163919,262.167059200531,8.98859615477503,270.5186488557805,5.372937517238999,286.6819349820717,3.3022599717699315,275.8920027417468,3.88466514083901
mid-term Future,1,3.4.5,ssp585,272.83749454985144,5.274386388146978,256.27817857809964,7.605546513128136,269.55057533009017,4.312648061484341,290.069448374147,4.1455856371444195,275.1602361946177,5.07620732734366
mid-term Future,1,4.1.1,ssp585,274.8878259542289,5.471563476082728,260.81988137490873,9.377941615506346,271.41109651334847,4.697019343590668,289.82201803466546,3.7518240544070363,277.2549111849837,4.119503296762346
mid-term Future,1,4.1.2,ssp585,277.3682110583679,5.273150578753786,262.2951287909612,7.8661282864508255,274.60739882420825,4.241546355298437,292.5308267518748,4.4874995754076075,279.7773212292561,4.539053573513782
mid-term Future,1,5.1.1,ssp585,276.6087850178211,4.79868438224881,259.5267683613085,6.154143115684326,274.94946656829825,3.2245425550610274,293.3898986285665,4.859062701515523,278.2601699436586,4.984944235254488
mid-term Future,1,5.1.2,ssp585,279.34448671659584,4.752507274846271,263.03776435426886,5.948626877010415,277.3644803542437,2.9818256639061578,295.0672383540609,5.109331338094627,281.6212566140244,4.995771686806148
